gameid,date,type,playerid,player,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,win,season,player_efficiency,normalized_pts
22300073,2023-10-25,regular,1641726,Dereck Lively II,DAL,SAS,DAL,31,16,7,8,0.875,0,0,,2,3,0.6666666666666666,5,5,10,1,1,1,1,4,20,1,2024,28,1.2935747322085924
22300073,2023-10-25,regular,1628467,Maxi Kleber,DAL,SAS,DAL,23,6,2,7,0.2857142857142857,2,5,0.4,0,0,,2,5,7,2,0,1,0,3,-12,1,2024,16,0.3671102317709776
22300073,2023-10-25,regular,203957,Dante Exum,DAL,SAS,DAL,8,3,1,2,0.5,0,1,0.0,1,1,1.0,0,1,1,0,0,0,0,1,4,1,2024,4,-0.7661801234403612
22300073,2023-10-25,regular,1628380,Zach Collins,SAS,SAS,DAL,32,14,6,10,0.6,0,4,0.0,2,2,1.0,1,4,5,3,1,2,3,4,-4,0,2024,22,0.49659405572176446
22300073,2023-10-25,regular,203926,Doug McDermott,SAS,SAS,DAL,11,0,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,1,0,1,-7,0,2024,3,-1.13306946831467
22300073,2023-10-25,regular,1626224,Cedi Osman,SAS,SAS,DAL,22,12,5,10,0.5,2,6,0.3333333333333333,0,0,,0,0,0,2,0,1,0,2,-11,0,2024,15,1.1354573239633325
22300073,2023-10-25,regular,1629640,Keldon Johnson,SAS,SAS,DAL,32,17,7,15,0.4666666666666667,1,3,0.3333333333333333,2,3,0.6666666666666666,2,7,9,7,0,0,3,4,0,0,2024,30,0.18956755777423218
22300073,2023-10-25,regular,1630200,Tre Jones,SAS,SAS,DAL,25,16,5,7,0.7142857142857143,2,3,0.6666666666666666,4,4,1.0,1,4,5,6,0,0,1,0,1,0,2024,26,1.0750741057806255
22300073,2023-10-25,regular,1641705,Victor Wembanyama,SAS,SAS,DAL,23,15,6,9,0.6666666666666666,3,5,0.6,0,1,0.0,0,5,5,2,2,1,5,5,0,0,2024,20,-0.8880401669640001
22300073,2023-10-25,regular,1631110,Jeremy Sochan,SAS,SAS,DAL,29,13,4,12,0.3333333333333333,2,4,0.5,3,6,0.5,3,5,8,5,1,0,3,4,-10,0,2024,24,0.19497664372077003
22300073,2023-10-25,regular,1630170,Devin Vassell,SAS,SAS,DAL,35,23,9,17,0.5294117647058824,1,6,0.16666666666666666,4,5,0.8,1,4,5,3,2,0,2,2,4,0,2024,31,0.4767343406486255
22300073,2023-10-25,regular,1631103,Malaki Branham,SAS,SAS,DAL,18,7,3,7,0.42857142857142855,0,3,0.0,1,1,1.0,0,2,2,2,1,0,1,1,-2,0,2024,11,-0.364619377261665
22300073,2023-10-25,regular,1629646,Charles Bassey,SAS,SAS,DAL,13,2,1,1,1.0,0,0,,0,0,,1,4,5,2,1,0,1,0,-6,0,2024,9,-0.40920726224280934
22300074,2023-10-25,regular,1626181,Norman Powell,LAC,LAC,POR,23,8,2,6,0.3333333333333333,2,5,0.4,2,2,1.0,0,3,3,1,0,0,2,0,-4,1,2024,10,-1.056420761750909
22300074,2023-10-25,regular,202695,Kawhi Leonard,LAC,LAC,POR,29,23,9,17,0.5294117647058824,5,5,1.0,0,0,,1,4,5,6,1,1,4,2,25,1,2024,32,-0.10218618823679708
22300074,2023-10-25,regular,203496,Robert Covington,LAC,LAC,POR,23,5,2,5,0.4,1,4,0.25,0,0,,1,3,4,2,3,1,0,2,26,1,2024,15,0.13224267596727848
22300074,2023-10-25,regular,201587,Nicolas Batum,LAC,LAC,POR,9,0,0,0,,0,0,,0,0,,0,3,3,1,1,1,0,0,-2,1,2024,6,-1.23058081531439
22300074,2023-10-25,regular,1630231,KJ Martin,LAC,LAC,POR,14,0,0,4,0.0,0,2,0.0,0,0,,1,0,1,1,1,0,0,2,-17,1,2024,3,-0.9860661484423849
22300074,2023-10-25,regular,1631217,Moussa Diabate,LAC,LAC,POR,4,2,1,3,0.3333333333333333,0,0,,0,0,,1,0,1,0,2,0,0,0,-10,1,2024,5,-0.21148132767047687
22300074,2023-10-25,regular,1641757,Jordan Miller,LAC,LAC,POR,4,2,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,1,-7,1,2024,2,0.2490138028619057
22300074,2023-10-25,regular,1641738,Kobe Brown,LAC,LAC,POR,5,0,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,-12,1,2024,0,-0.742662829187852
22300074,2023-10-25,regular,1629599,Amir Coffey,LAC,LAC,POR,4,2,0,1,0.0,0,0,,2,2,1.0,0,0,0,1,0,0,0,0,-7,1,2024,3,-0.8810514066098845
22300074,2023-10-25,regular,202331,Paul George,LAC,LAC,POR,32,27,11,17,0.6470588235294118,4,7,0.5714285714285714,1,1,1.0,0,3,3,6,3,0,4,2,23,1,2024,35,0.5628213376330551
22300074,2023-10-25,regular,1627826,Ivica Zubac,LAC,LAC,POR,26,20,8,10,0.8,0,0,,4,5,0.8,5,7,12,0,0,4,2,3,25,1,2024,34,1.6747938498702866
22300074,2023-10-25,regular,203486,Mason Plumlee,LAC,LAC,POR,18,6,2,4,0.5,0,0,,2,4,0.5,3,5,8,2,0,0,0,0,-6,1,2024,16,0.18450024435488005
