gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season
22300155,2023-11-06,regular,1610612737,ATL,OKC,ATL,48.0,117.0,38.0,102.0,37.3,14.0,42.0,33.3,27.0,32.0,84.4,25.0,34.0,59.0,27.0,15.0,8.0,3.0,16.0,-9.0,0.0,2024
22300155,2023-11-06,regular,1610612760,OKC,OKC,ATL,48.0,126.0,45.0,94.0,47.9,14.0,35.0,40.0,22.0,23.0,95.7,11.0,38.0,49.0,27.0,13.0,7.0,7.0,22.0,9.0,1.0,2024
22300156,2023-11-06,regular,1610612743,DEN,DEN,NOP,48.0,134.0,51.0,95.0,53.7,15.0,39.0,38.5,17.0,23.0,73.9,11.0,34.0,45.0,37.0,10.0,6.0,5.0,16.0,18.0,1.0,2024
22300156,2023-11-06,regular,1610612740,NOP,DEN,NOP,48.0,116.0,45.0,90.0,50.0,13.0,30.0,43.3,13.0,15.0,86.7,8.0,30.0,38.0,24.0,13.0,6.0,2.0,18.0,-18.0,0.0,2024
22300157,2023-11-08,regular,1610612766,CHA,CHA,WAS,48.0,116.0,41.0,79.0,51.9,8.0,25.0,32.0,26.0,35.0,74.3,11.0,36.0,47.0,17.0,22.0,8.0,5.0,22.0,-16.0,0.0,2024
22300157,2023-11-08,regular,1610612764,WAS,CHA,WAS,48.0,132.0,47.0,97.0,48.5,18.0,43.0,41.9,20.0,25.0,80.0,13.0,27.0,40.0,26.0,11.0,10.0,6.0,26.0,16.0,1.0,2024
22300158,2023-11-08,regular,1610612754,IND,IND,UTA,48.0,134.0,52.0,101.0,51.5,13.0,41.0,31.7,17.0,20.0,85.0,14.0,32.0,46.0,26.0,12.0,14.0,7.0,15.0,16.0,1.0,2024
22300158,2023-11-08,regular,1610612762,UTA,IND,UTA,48.0,118.0,45.0,96.0,46.9,11.0,27.0,40.7,17.0,18.0,94.4,16.0,31.0,47.0,26.0,22.0,3.0,5.0,17.0,-16.0,0.0,2024
22300159,2023-11-08,regular,1610612738,BOS,PHI,BOS,48.0,103.0,36.0,91.0,39.6,15.0,47.0,31.9,16.0,19.0,84.2,9.0,34.0,43.0,28.0,13.0,8.0,6.0,13.0,-3.0,0.0,2024
22300159,2023-11-08,regular,1610612755,PHI,PHI,BOS,48.0,106.0,42.0,95.0,44.2,9.0,34.0,26.5,13.0,15.0,86.7,12.0,44.0,56.0,20.0,14.0,7.0,7.0,16.0,3.0,1.0,2024
22300160,2023-11-08,regular,1610612751,BKN,BKN,LAC,48.0,100.0,37.0,92.0,40.2,15.0,41.0,36.6,11.0,13.0,84.6,14.0,35.0,49.0,22.0,14.0,10.0,10.0,14.0,7.0,1.0,2024
22300160,2023-11-08,regular,1610612746,LAC,BKN,LAC,48.0,93.0,36.0,91.0,39.6,8.0,36.0,22.2,13.0,13.0,100.0,11.0,40.0,51.0,22.0,16.0,10.0,8.0,15.0,-7.0,0.0,2024
22300161,2023-11-08,regular,1610612752,NYK,NYK,SAS,48.0,126.0,46.0,100.0,46.0,19.0,42.0,45.2,15.0,22.0,68.2,13.0,34.0,47.0,28.0,4.0,7.0,0.0,14.0,21.0,1.0,2024
22300161,2023-11-08,regular,1610612759,SAS,NYK,SAS,48.0,105.0,44.0,90.0,48.9,9.0,34.0,26.5,8.0,13.0,61.5,11.0,35.0,46.0,31.0,13.0,2.0,7.0,22.0,-21.0,0.0,2024
22300162,2023-11-08,regular,1610612741,CHI,CHI,PHX,53.0,115.0,42.0,96.0,43.8,14.0,33.0,42.4,17.0,23.0,73.9,9.0,30.0,39.0,30.0,14.0,12.0,7.0,22.0,-1.0,0.0,2024
22300162,2023-11-08,regular,1610612756,PHX,CHI,PHX,53.0,116.0,38.0,90.0,42.2,19.0,48.0,39.6,21.0,25.0,84.0,13.0,41.0,54.0,32.0,22.0,7.0,10.0,20.0,1.0,1.0,2024
22300163,2023-11-08,regular,1610612745,HOU,HOU,LAL,48.0,128.0,51.0,93.0,54.8,14.0,33.0,42.4,12.0,19.0,63.2,14.0,43.0,57.0,26.0,13.0,4.0,4.0,23.0,34.0,1.0,2024
22300163,2023-11-08,regular,1610612747,LAL,HOU,LAL,48.0,94.0,36.0,85.0,42.4,7.0,25.0,28.0,15.0,24.0,62.5,5.0,29.0,34.0,20.0,9.0,7.0,6.0,18.0,-34.0,0.0,2024
22300164,2023-11-08,regular,1610612763,MEM,MEM,MIA,48.0,102.0,35.0,90.0,38.9,11.0,37.0,29.7,21.0,28.0,75.0,13.0,25.0,38.0,20.0,14.0,10.0,4.0,27.0,-6.0,0.0,2024
22300164,2023-11-08,regular,1610612748,MIA,MEM,MIA,48.0,108.0,35.0,77.0,45.5,11.0,28.0,39.3,27.0,32.0,84.4,9.0,35.0,44.0,22.0,19.0,9.0,8.0,24.0,6.0,1.0,2024
22300165,2023-11-08,regular,1610612765,DET,MIL,DET,48.0,118.0,48.0,98.0,49.0,7.0,29.0,24.1,15.0,16.0,93.8,11.0,42.0,53.0,28.0,19.0,2.0,5.0,24.0,-2.0,0.0,2024
22300165,2023-11-08,regular,1610612749,MIL,MIL,DET,48.0,120.0,41.0,90.0,45.6,11.0,37.0,29.7,27.0,32.0,84.4,5.0,31.0,36.0,19.0,10.0,8.0,7.0,18.0,2.0,1.0,2024
22300166,2023-11-08,regular,1610612750,MIN,MIN,NOP,48.0,122.0,45.0,82.0,54.9,15.0,37.0,40.5,17.0,24.0,70.8,8.0,40.0,48.0,30.0,18.0,9.0,7.0,23.0,21.0,1.0,2024
22300166,2023-11-08,regular,1610612740,NOP,MIN,NOP,48.0,101.0,36.0,93.0,38.7,8.0,28.0,28.6,21.0,22.0,95.5,11.0,29.0,40.0,23.0,17.0,6.0,1.0,23.0,-21.0,0.0,2024
22300167,2023-11-08,regular,1610612739,CLE,OKC,CLE,48.0,120.0,42.0,83.0,50.6,9.0,29.0,31.0,27.0,37.0,73.0,11.0,30.0,41.0,26.0,20.0,9.0,5.0,24.0,-8.0,0.0,2024
22300167,2023-11-08,regular,1610612760,OKC,OKC,CLE,48.0,128.0,44.0,86.0,51.2,12.0,28.0,42.9,28.0,30.0,93.3,12.0,29.0,41.0,23.0,14.0,10.0,8.0,27.0,8.0,1.0,2024
22300168,2023-11-08,regular,1610612742,DAL,DAL,TOR,48.0,116.0,40.0,84.0,47.6,17.0,41.0,41.5,19.0,31.0,61.3,6.0,32.0,38.0,25.0,16.0,4.0,6.0,21.0,-11.0,0.0,2024
