gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season,home_game,normalized_pts,win_encoded
22300115,2023-11-01,regular,1610612765,DET,DET,POR,48.0,101.0,40.0,90.0,0.4444444444444444,11.0,29.0,0.3793103448275862,10.0,11.0,0.9090909090909091,6.0,32.0,38.0,24.0,18.0,12.0,4.0,31.0,-9.0,0.0,2024,1,-0.8196617854486783,0
22300115,2023-11-01,regular,1610612757,POR,DET,POR,48.0,110.0,38.0,81.0,0.4691358024691358,7.0,20.0,0.35,27.0,33.0,0.8181818181818182,7.0,37.0,44.0,23.0,17.0,10.0,7.0,15.0,9.0,1.0,2024,0,0.2811145441196512,1
22300116,2023-11-01,regular,1610612749,MIL,TOR,MIL,48.0,111.0,35.0,76.0,0.4605263157894737,13.0,34.0,0.38235294117647056,28.0,38.0,0.7368421052631579,7.0,22.0,29.0,19.0,12.0,9.0,2.0,17.0,-19.0,0.0,2024,0,-0.5965170424962546,0
22300116,2023-11-01,regular,1610612761,TOR,TOR,MIL,48.0,130.0,51.0,91.0,0.5604395604395604,15.0,38.0,0.39473684210526316,13.0,14.0,0.9285714285714286,15.0,35.0,50.0,35.0,18.0,7.0,6.0,25.0,19.0,1.0,2024,1,1.3903138026809236,1
22300117,2023-11-01,regular,1610612737,ATL,ATL,WAS,48.0,130.0,46.0,92.0,0.5,9.0,32.0,0.28125,29.0,32.0,0.90625,14.0,43.0,57.0,26.0,21.0,8.0,3.0,16.0,9.0,1.0,2024,1,0.9288629691612615,1
22300117,2023-11-01,regular,1610612764,WAS,ATL,WAS,48.0,121.0,51.0,101.0,0.504950495049505,10.0,40.0,0.25,9.0,14.0,0.6428571428571429,6.0,29.0,35.0,32.0,11.0,14.0,3.0,25.0,-9.0,0.0,2024,0,0.6889243758211678,0
22300118,2023-11-01,regular,1610612738,BOS,BOS,IND,48.0,155.0,54.0,95.0,0.5684210526315789,20.0,35.0,0.5714285714285714,27.0,28.0,0.9642857142857143,11.0,46.0,57.0,27.0,13.0,5.0,2.0,19.0,51.0,1.0,2024,1,2.7864994784374937,1
22300118,2023-11-01,regular,1610612754,IND,BOS,IND,48.0,104.0,46.0,101.0,0.45544554455445546,5.0,37.0,0.13513513513513514,7.0,12.0,0.5833333333333334,8.0,23.0,31.0,26.0,9.0,6.0,6.0,20.0,-51.0,0.0,2024,0,-1.4183327659062912,0
22300119,2023-11-01,regular,1610612751,BKN,MIA,BKN,48.0,109.0,37.0,82.0,0.45121951219512196,16.0,36.0,0.4444444444444444,19.0,26.0,0.7307692307692307,7.0,40.0,47.0,27.0,18.0,11.0,4.0,18.0,4.0,1.0,2024,0,-0.09915703450498185,1
22300119,2023-11-01,regular,1610612748,MIA,MIA,BKN,48.0,105.0,39.0,91.0,0.42857142857142855,13.0,38.0,0.34210526315789475,14.0,18.0,0.7777777777777778,11.0,35.0,46.0,22.0,18.0,10.0,5.0,20.0,-4.0,0.0,2024,1,-0.44856382046070564,0
22300120,2023-11-01,regular,1610612739,CLE,NYK,CLE,48.0,95.0,32.0,74.0,0.43243243243243246,12.0,32.0,0.375,19.0,20.0,0.95,6.0,40.0,46.0,22.0,18.0,7.0,5.0,27.0,6.0,1.0,2024,0,-1.6173566801275991,1
22300120,2023-11-01,regular,1610612752,NYK,NYK,CLE,48.0,89.0,32.0,92.0,0.34782608695652173,5.0,30.0,0.16666666666666666,20.0,30.0,0.6666666666666666,16.0,34.0,50.0,18.0,14.0,10.0,3.0,16.0,-6.0,0.0,2024,1,-1.9470381065686986,0
22300121,2023-11-01,regular,1610612740,NOP,OKC,NOP,48.0,110.0,40.0,102.0,0.39215686274509803,13.0,42.0,0.30952380952380953,17.0,29.0,0.5862068965517241,22.0,36.0,58.0,23.0,11.0,8.0,5.0,20.0,4.0,1.0,2024,0,-0.36379455022749424,1
22300121,2023-11-01,regular,1610612760,OKC,OKC,NOP,48.0,106.0,38.0,88.0,0.4318181818181818,7.0,34.0,0.20588235294117646,23.0,25.0,0.92,6.0,43.0,49.0,23.0,15.0,6.0,5.0,24.0,-4.0,0.0,2024,1,-1.182511106531417,0
22300122,2023-11-01,regular,1610612766,CHA,HOU,CHA,48.0,119.0,45.0,90.0,0.5,11.0,27.0,0.4074074074074074,18.0,25.0,0.72,15.0,29.0,44.0,21.0,16.0,9.0,8.0,19.0,-9.0,0.0,2024,0,1.0239889622202427,0
22300122,2023-11-01,regular,1610612745,HOU,HOU,CHA,48.0,128.0,44.0,84.0,0.5238095238095238,21.0,37.0,0.5675675675675675,19.0,23.0,0.8260869565217391,7.0,31.0,38.0,35.0,17.0,10.0,2.0,22.0,9.0,1.0,2024,1,1.0860539391649595,1
22300123,2023-11-01,regular,1610612743,DEN,MIN,DEN,48.0,89.0,38.0,96.0,0.3958333333333333,6.0,33.0,0.18181818181818182,7.0,10.0,0.7,12.0,31.0,43.0,23.0,16.0,6.0,10.0,22.0,-21.0,0.0,2024,0,-2.092066025214561,0
22300123,2023-11-01,regular,1610612750,MIN,MIN,DEN,48.0,110.0,38.0,83.0,0.4578313253012048,8.0,21.0,0.38095238095238093,26.0,27.0,0.9629629629629629,8.0,39.0,47.0,20.0,14.0,9.0,5.0,15.0,21.0,1.0,2024,1,-0.32366935566544114,1
22300124,2023-11-01,regular,1610612741,CHI,DAL,CHI,48.0,105.0,42.0,89.0,0.47191011235955055,11.0,33.0,0.3333333333333333,10.0,11.0,0.9090909090909091,12.0,31.0,43.0,19.0,13.0,10.0,3.0,23.0,-9.0,0.0,2024,0,-0.6347865291598894,0
